Ia,Ib,Ic,Va,Vb,Vc,fault_type,location,A,B,C,G
0.558282625181051,0.190147825001339,0.741525928127399,0.431615590132377,1.13102844901893,0.778888224461586,LL,near_source,1,0,1,0
0.190203921533751,0.190257037464209,0.190292954413219,1.13083084858791,1.13104861645585,1.13095103322776,NOFAULT,near_load,0,0,0,0
0.536785298718139,0.193823019202231,0.624053974500943,0.417042813170451,1.10675525124909,0.342151477726406,LLG,mid_line,1,0,1,1
0.66295788319588,0.160841197843586,0.223466334215961,0.510169132740049,1.09634687767922,1.13616327075672,LG,near_load,1,0,0,1
0.169065121157648,0.208238834753675,0.600849778441474,1.10844805764817,1.13133405778721,0.547866272735113,LG,near_source,0,0,1,1
0.190834425604409,0.192408038926741,0.190658205394802,1.10993736794211,1.09129013076012,1.14892563171567,NOFAULT,near_source,0,0,0,0
0.77884550086696,0.789655306734618,0.7894944169895,0.090714902549518,0.176142303658906,0.178964700823709,LLLG,near_source,1,1,1,1
0.190599451715912,0.190319004809941,0.190132968820961,1.14713127953363,1.1382646853055,1.13007103085112,NOFAULT,near_source,0,0,0,0
0.173985717222258,0.211170208663141,0.496575492239059,1.12426232700415,1.17090988333719,0.723117585499803,LG,mid_line,0,0,1,1
0.195491624379665,0.58989801677723,0.485667911790162,1.10662401533004,0.454229067137186,0.544832292164808,LLG,near_load,0,1,1,1
0.208251209983541,0.628800512561933,0.165335065222346,1.13157365626439,0.386066592184512,1.10116793959871,LG,near_source,0,1,0,1
0.190023834621801,0.190112893437777,0.190123013398628,1.14574111314763,1.15649406831531,1.13313332003195,NOFAULT,near_source,0,0,0,0
0.754090715320494,0.610080041908037,0.662225381912432,0.335491305283014,0.700996887590986,0.767574929769382,LLL,near_load,1,1,1,0
0.190561251295807,0.190525795144999,0.190728874292482,1.13073780274647,1.13138644143679,1.1310855166383,NOFAULT,mid_line,0,0,0,0
0.876076083150095,0.804168877171033,0.164544597831451,0.465917555189701,0.482586793914261,1.09363749679654,LLG,near_source,1,1,0,1
0.549442865935638,0.43129623413581,0.199197792245136,0.43510332627358,0.519935183415944,1.110553854219,LLG,near_load,1,1,0,1
0.542170443982078,0.483476593164708,0.198291426332127,0.613563341255592,0.479927742155509,1.1155369781282,LLG,mid_line,1,1,0,1
0.700678419495794,0.58474061996172,0.190435472663865,0.610669360116944,0.697663975414046,1.1309334015987,LL,mid_line,1,1,0,0
0.190332967359063,0.190505847233651,0.189754391600423,1.12377277226516,1.12459922512553,1.13032274078556,NOFAULT,near_load,0,0,0,0
0.566072910169818,0.404069976706219,0.190150721911032,0.610601678883217,0.688452489280329,1.13096040310306,LL,near_load,1,1,0,0
0.772268575343522,0.177594351364756,0.808889340626124,0.204134218868844,1.1005045977495,0.171918137261387,LLG,near_source,1,0,1,1
0.552125076720562,0.161424412515482,0.21786370731833,0.420929107644991,1.09706742815213,1.13529497623819,LG,mid_line,1,0,0,1
0.633719091472559,0.541456314864259,0.19583626575174,0.388540328840592,0.472686245072228,1.11359475127478,LLG,near_load,1,1,0,1
0.76888458187279,0.77656358702563,0.736287595389481,0.147749729655901,0.132916687581219,0.131590831656435,LLL,near_source,1,1,1,0
0.612075465819869,0.194324666879533,0.694492487528035,0.427727872552558,1.11454764675678,0.385488184377319,LLG,mid_line,1,0,1,1
0.55567030845396,0.555640250454857,0.555783627291097,0.491026940079214,0.49139595533552,0.491174148765413,LLL,mid_line,1,1,1,0
0.638947696307535,0.599432443623576,0.188526023213653,0.408988896916449,0.308608741342425,1.11041711961294,LLG,near_source,1,1,0,1
0.194571587201213,0.636862872728037,0.482038622825337,1.10115141486978,0.948064193359953,1.06682739189014,LLG,near_load,0,1,1,1
0.190428549908691,0.190463359160669,0.190495652071072,1.13116230313658,1.13100329794201,1.13108923395886,NOFAULT,mid_line,0,0,0,0
0.777892044062867,0.776108210472506,0.774095805071862,0.30436043328465,0.356330422846122,0.347227524895559,LLLG,near_source,1,1,1,1
0.190056684017775,0.190129344500916,0.189879972094258,1.12935892848131,1.12988547362745,1.13231458026812,NOFAULT,near_source,0,0,0,0
0.541983197340112,0.54222386722753,0.544290109992448,0.36737367035408,0.422411024934041,0.432996602858033,LLLG,near_load,1,1,1,1
0.891242963817765,0.184523947982872,0.853139868113939,0.350922147024154,1.09135930375491,0.291639462108479,LLG,near_source,1,0,1,1
0.648521850807786,0.649506787798835,0.647888552752184,0.322423505436193,0.322189445126186,0.322421332577612,LLLG,mid_line,1,1,1,1
0.422305803858803,0.19047819489278,0.611491177045455,0.497400230146685,1.131033932233,0.860106654488433,LL,mid_line,1,0,1,0
0.849742872575101,0.841519883960995,0.780866432128558,0.081057197979275,0.199991876108765,0.216922368634844,LLL,near_source,1,1,1,0
0.190542852398201,0.190423103451355,0.190415207679153,1.13119683511433,1.13042335003902,1.13158953227673,NOFAULT,mid_line,0,0,0,0
